depth	min95%	max95%	best	accrate
0	-56	-27	-47	4.87
1	-53	-24	-42	4.87
2	-50	-18	-37	4.87
3	-46	-12	-32	4.86
4	-43	-5	-28	4.86
5	-40	3	-23	4.85
6	-37	10	-18	4.84
7	-34	18	-13	4.83
8	-31	26	-8	4.82
9	-28	34	-3	4.81
10	-25	42	1	4.79
11	-22	50	6	4.78
12	-19	57	11	4.76
13	-16	65	16	4.74
14	-14	72	21	4.72
15	-11	80	25	4.7
16	-9	88	30	4.68
17	-6	96	35	4.66
18	-3	103	39	4.63
19	-1	110	44	4.61
20	2	118	49	4.58
21	5	125	53	4.55
22	7	132	58	4.52
23	10	139	62	4.48
24	13	146	67	4.45
25	16	153	71	4.42
26	18	160	76	4.38
27	21	167	80	4.34
28	23	174	84	4.3
29	26	181	89	4.26
30	29	187	93	4.22
31	31	193	97	4.18
32	34	199	101	4.13
33	36	205	105	4.09
34	39	211	109	4.05
35	42	217	113	4.01
36	44	223	118	3.97
37	47	229	121	3.93
38	49	234	125	3.89
39	52	239	129	3.86
40	54	244	133	3.82
41	57	250	137	3.79
42	59	255	141	3.75
43	62	259	145	3.72
44	65	264	148	3.68
45	67	269	152	3.65
46	70	274	156	3.62
47	72	278	159	3.59
48	74	283	163	3.56
49	77	287	166	3.53
50	79	291	170	3.5
51	82	295	173	3.48
52	85	299	177	3.45
53	87	303	180	3.42
54	90	306	184	3.4
55	93	310	187	3.37
56	97	314	190	3.35
57	99	318	194	3.33
58	102	322	197	3.31
59	104	325	200	3.29
60	107	329	204	3.27
61	109	333	207	3.25
62	112	336	210	3.23
63	114	339	214	3.21
64	116	342	217	3.2
65	119	346	220	3.18
66	121	349	223	3.16
67	124	352	226	3.15
68	126	354	229	3.14
69	129	357	233	3.12
70	131	359	236	3.11
71	134	362	239	3.1
72	136	365	242	3.09
73	139	368	245	3.08
74	141	372	248	3.07
75	144	375	251	3.06
76	146	378	254	3.06
77	149	381	257	3.05
78	152	383	260	3.05
79	154	386	263	3.04
80	157	389	266	3.04
81	159	392	269	3.04
82	162	394	272	3.03
83	165	395	276	3.03
84	167	397	279	3.03
85	170	399	282	3.03
86	173	401	285	3.03
87	176	403	288	3.04
88	179	405	291	3.04
89	182	407	294	3.04
90	185	409	297	3.05
91	189	412	300	3.05
92	192	414	303	3.06
93	195	416	306	3.06
94	197	418	309	3.07
95	201	421	312	3.08
96	204	423	315	3.09
97	207	425	318	3.1
98	210	427	321	3.11
99	213	430	324	3.12
100	216	432	328	3.14
101	219	435	331	3.15
102	222	437	334	3.16
103	226	440	337	3.18
104	229	442	340	3.19
105	232	444	343	3.21
106	235	447	347	3.23
107	239	449	350	3.25
108	242	451	353	3.26
109	245	454	356	3.28
110	249	456	360	3.31
111	252	458	363	3.33
112	256	461	366	3.35
113	259	463	370	3.37
114	263	466	373	3.4
115	266	468	376	3.42
116	270	471	380	3.45
117	273	474	383	3.47
118	277	477	387	3.5
119	281	480	390	3.53
120	284	483	394	3.56
121	288	485	397	3.59
122	292	488	401	3.62
123	296	491	404	3.65
124	300	494	408	3.68
125	303	498	412	3.71
126	307	501	416	3.75
127	311	503	419	3.78
128	315	507	423	3.82
129	319	510	427	3.85
130	324	514	431	3.89
131	328	517	435	3.93
132	332	521	439	3.97
133	336	524	442	4.01
134	340	527	446	4.05
135	344	530	451	4.09
136	348	533	455	4.13
137	353	537	459	4.17
138	357	541	463	4.21
139	361	546	467	4.25
140	365	550	471	4.29
141	369	554	476	4.33
142	374	558	480	4.38
143	378	562	484	4.42
144	382	565	489	4.46
145	387	570	493	4.5
146	391	573	498	4.54
147	395	578	502	4.59
148	400	583	507	4.63
149	405	588	512	4.67
150	409	593	516	4.71
151	414	598	521	4.76
152	418	602	526	4.8
153	423	608	530	4.84
154	427	613	535	4.88
155	431	618	540	4.93
156	436	624	545	4.97
157	441	630	550	5.01
